ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
KLAC,1996,26
KLIC,608,20
KMB,1893,33
KMDA,0,0
KMI,2002,33
KMT,1993,23
KMX,1955,0
KN,1875,29
KNDI,1521,10
KNOP,1962,7
KNX,1778,30
KO,2003,33
KODK,1310,24
KOF,0,0
KOP,1887,33
KOPN,0,0
KOS,2000,31
KPTI,551,2
KR,1968,0
KRO,1997,33
KSS,1980,0
KT,0,0
KTCC,1947,33
KTOS,1997,32
KVHI,1263,24
KWR,1759,32
LAB,2000,11
LAD,1996,33
LAKE,575,0
LANC,0,0
LBTYA,1999,33
LBTYK,1999,33
LCI,1405,28
LCUT,1997,33
LDOS,1976,27
LE,1977,0
LECO,1818,30
LEDS,1756,0
LEE,139,33
LEG,1999,33
LEN,1958,0
LEU,182,3
LFUS,2001,33
LFVN,1190,19
LGND,1999,17
LH,2004,28
LHCG,1650,23
LII,761,33
LIN,2008,31
LINC,1996,30
LIQT,316,12
LITB,0,0
LIVE,1729,32
LJPC,0,0
LL,1507,8
LLY,2005,30
LMAT,479,5
LMNR,1978,0
LMT,1890,15
LNG,1914,33
LNN,1837,0
LNT,1997,26
LODE,1937,28
LOGI,0,0
LOPE,873,29
LOV,284,1
LOW,1768,0
LPCN,921,13
LPG,1979,32
LPL,0,0
LPSN,796,11
LPTH,1227,33
LPX,1999,24
LQDT,0,0
LRCX,1984,33
LRN,567,33
LSCC,1803,29
LSTR,2001,31
LTBR,6,0
LTRX,274,25
LULU,57,0
LUNA,919,28
LUV,2003,33
LVS,1997,33
LWAY,1480,4
LXFR,2003,13
LXRX,1410,27
LXU,1996,33
LYB,2006,29
LYTS,926,22
LYV,1664,33
LZB,14,0
M,1979,0
MA,2002,25
MACK,1239,7
MAG,0,0
MAN,1998,33
MANH,0,0
MANT,87,0
MANU,0,0
MAR,1301,33
MARA,1322,14
MARK,687,13
MARPS,0,0
MAS,1725,29
MASI,637,9
MAT,2004,15
MATW,1997,33
MATX,2002,33
MBII,1455,0
MBUU,1744,29
MCD,570,33
MCHP,1995,33
MCHX,266,0
MCK,1705,31
MCRI,1737,25
MCS,1958,26
MD,2002,32
BIOC,1385,29
BIOL,984,17
BJRI,1858,0
BKD,1995,33
BKE,0,0
BKEP,1330,0
BKH,1998,29
BKR,1954,20
BLDP,308,0
BLDR,2001,33
BLFS,632,7
BLIN,1875,25
BLKB,1998,33
BLMN,1999,33
BLRX,0,0
BLUE,359,1
BMI,1161,0
BMRN,2002,17
BMY,2007,26
BNFT,128,33
BOOM,1451,29
BOSC,1924,1
BP,0,0
BPT,0,0
BPTH,0,0
BR,1997,31
BRC,884,0
BRFS,0,0
BRKR,1996,26
BSET,5,0
BSQR,423,3
BSX,1998,24
BTG,1345,7
BTI,0,0
BUD,0,0
BURL,1084,0
BVN,0,0
BWEN,1435,33
BWXT,1998,31
BXC,683,33
BYD,1996,26
BZH,2002,31
CACI,1982,32
CAE,1616,2
CAG,1962,0
CAH,1954,32
CAJ,0,0
CAKE,665,20
CAL,1977,0
CALM,22,0
CALX,1104,0
CAMP,1770,0
CAMT,0,0
CANF,0,0
CAPL,1995,33
CAPR,305,6
CAR,1577,33
CARA,920,0
CASI,296,0
CASS,41,0
CASY,1979,0
CAT,2001,33
CATO,0,0
CBAY,973,16
CBD,0,0
CBRL,1966,0
CBT,1998,32
CBZ,1996,33
CCF,960,0
CCJ,0,0
CCK,2003,33
CCL,1958,0
CCLP,1618,33
CCM,0,0
CCMP,1996,0
CCO,68,32
CCOI,389,33
CCRN,1996,33
CCS,1993,32
CCU,0,0
CCXI,696,0
CDE,1998,33
CDNS,2010,23
CDW,1993,32
CDXS,0,7
CDZI,158,33
CE,2011,33
CEA,0,0
CECO,1997,33
CEMI,666,18
CENT,1997,33
CENTA,1997,33
CENX,1996,19
CEQP,1996,33
CERN,1537,0
CERS,1933,23
CEVA,0,0
CF,1997,13
CGA,0,0
CGEN,0,0
CGNX,0,0
CHCI,1993,9
CHD,2001,11
CHDN,2003,33
CHE,2003,27
CHEF,1998,21
CHGG,991,13
CHH,289,27
CHKP,0,0
CHNR,0,0
CHRW,1995,13
CHS,1530,0
CHSCP,1935,0
CHT,0,0
CHTR,1816,33
CHUY,506,0
CIDM,296,27
CIEN,1788,0
CIG,0,0
CIR,1770,33
CIVI,1012,20
CIX,0,0
CJJD,1994,0
CL,1556,31
CLB,1819,32
CLDX,77,0
CLF,932,32
CLFD,0,0
CLH,1997,32
CLIR,0,3
CLMT,1582,32
CLNE,1567,33
CLR,1998,0
CLRB,213,18
CLRO,236,11
CLS,0,0
CLW,2002,20
CLX,1985,13
CMC,1939,0
CMCM,0,0
CMCO,2002,33
CMCSA,2007,33
CMG,0,0
CMP,2005,18
CMPR,1320,33
CMRE,2008,7
CMRX,259,4
CMS,2007,33
CMT,1644,30
CMTL,1534,0
CNC,2009,32
CNCE,1427,3
CNET,334,0
CNI,0,0
CNK,1999,33
CNMD,2006,33
CNP,1998,33
CNQ,0,0
CNR,1976,0
CNSL,2001,33
CNTY,1992,33
CNX,2001,33
CNXN,0,0
CO,1982,0
COHR,1982,32
COHU,834,22
COKE,1996,33
COLM,12,3
COMM,1838,29
CONN,1983,0
COO,1980,0
COP,1999,33
CORT,628,9
COST,1950,0
COTY,1982,29
CP,301,6
CPA,0,0
CPAC,0,0
CPB,1967,0
CPE,1998,23
CPG,0,0
CPHI,1882,28
CPIX,1202,20
CPK,1997,32
CPLP,2006,7
CPRT,1939,0
CPRX,0,0
CPSH,460,10
CPSI,1551,26
CQP,1962,24
CR,1998,17
CRAI,706,4
CREG,1066,16
CRESY,0,0
CRH,0,0
CRI,2007,20
CRIS,1171,21
CRK,1309,24
CRL,1997,33
CRM,1558,0
CRMD,834,1
CRMT,1982,0
CRNT,1915,3
CROX,844,28
MDC,2004,33
MDGL,404,7
MDLZ,1996,33
MDRX,1884,25
MDT,1984,0
MDU,1996,33
MDWD,0,0
MDXG,783,11
MED,0,6
MEI,1261,0
MEIP,0,0
MELI,1932,33
MEOH,0,0
MERC,2001,27
MG,1956,21
MGEE,1998,33
MGIC,0,1
MGM,1995,31
MGNX,0,0
MGPI,1715,29
MHH,1740,29
MHK,2000,33
MHO,2006,33
MIC,2003,0
MIDD,1997,20
MITK,291,6
MIXT,0,0
MKC,1959,0
MKSI,1496,22
MLAB,1998,27
MLI,1831,32
MLM,2000,33
MLSS,0,9
MMLP,1261,30
MMM,2002,27
MMP,1999,27
MMS,986,11
MMSI,1995,33
MMYT,0,0
MNDO,0,0
MNKD,0,23
MNOV,0,0
MNRO,1997,33
MNST,0,0
MNTX,1997,33
MO,1840,22
MODN,1303,12
MOH,2003,18
MORN,1286,23
MOS,2002,33
MOV,455,0
MPC,2000,33
MPLX,2000,33
MPWR,0,0
MPX,0,0
MRC,2001,31
MRCY,1487,1
MRIN,555,16
MRK,1997,33
MRO,1999,17
MRTN,0,8
MRTX,0,0
MRVL,962,0
MSA,2007,33
MSB,0,0
MSCI,1150,20
MSEX,2000,33
MSFT,2002,31
MSI,316,33
MSM,1940,0
MSN,0,0
MSTR,348,7
MT,0,0
MTD,2006,32
MTDR,1996,25
MTEX,10,33
MTH,2002,33
MTLS,1300,0
MTN,1967,0
MTR,0,0
MTRN,634,33
MTRX,305,23
MTSI,2001,33
MTW,2001,31
MTX,1996,33
MTZ,1995,33
MU,1901,0
MUR,1999,31
MUSA,1997,33
MUX,727,16
MVIS,0,16
MVO,0,0
MWA,1997,21
MX,551,9
MXC,1083,25
MXL,1240,19
MYE,2000,10
MYGN,1170,7
MYRG,1680,25
NAII,452,4
NAK,0,0
NAT,2001,0
NATH,0,3
NATI,90,0
NATR,435,15
NAVB,799,10
NBIX,1243,9
NBR,1998,33
NBY,317,5
NC,1361,33
NCLH,2003,33
NCMI,0,25
NCR,2001,8
NCTY,0,0
NDLS,1992,33
NDSN,1981,0
NEE,2002,33
NEM,2003,27
NEO,2004,33
NEOG,0,0
NEON,1284,32
NEP,2001,32
NEPT,0,0
NEU,2003,22
NFG,1996,12
NFLX,2009,24
NG,1956,0
NGD,0,0
NGG,0,0
NGL,1995,33
NGS,0,1
NGVC,2002,33
NHC,52,33
NHTC,0,0
NI,2002,33
NICE,0,0
NJR,2000,33
NKE,1732,0
NKTR,1714,15
NL,0,1
NLS,1374,20
NLSN,2004,0
NM,1986,7
NMM,2003,7
NNBR,1996,33
NNVC,1398,2
NOA,0,0
NOC,2008,24
NOG,866,19
NOK,0,0
NOV,2000,13
NOW,1997,13
NP,1997,0
NPK,0,0
NPO,1998,33
NPTN,1978,0
NR,1952,29
NRG,1670,31
NRP,1996,33
NRT,0,0
NS,1999,33
NSC,2008,32
NSIT,1625,33
NSP,1448,7
NSPR,1551,6
NSSC,500,16
NSTG,1845,28
NTAP,1985,0
NTCT,1629,11
NTES,0,0
NTGR,0,0
NTIC,0,0
NTWK,1049,33
NTZ,0,0
NUE,1993,18
NURO,0,0
NUS,1994,33
NUVA,1938,17
NVAX,633,20
NVDA,1991,0
NVEC,0,0
NVFY,950,8
NVGS,0,0
NVIV,394,16
NVMI,0,0
NVO,0,0
NVR,2001,13
NVS,0,0
NWE,2007,20
NWL,1996,28
NWN,1999,25
NWPX,320,28
NWS,906,23
NWSA,888,23
NX,1725,0
NXPI,2006,16
NXST,1996,33
NYMX,0,1
NYT,1999,18
OBCI,1051,0
OC,2008,25
OCC,1977,0
ODC,775,0
ODFL,408,18
ODP,1969,32
OESX,1109,33
OFIX,83,14
OFLX,0,0
OGE,1997,27
OGEN,292,2
OGS,1999,11
OI,2003,33
OII,1935,13
OIIM,0,0
OIS,1448,33
OKE,1998,29
OLED,0,0
OLN,2006,33
OMAB,0,0
OMC,2009,14
OMCL,1306,18
OMER,252,14
OMEX,64,30
OMI,2003,25
ON,2001,33
ONCS,8,0
ONTX,0,0
ONVO,0,2
OPK,969,8
OPTT,13,0
ORA,1998,32
ORAN,0,0
ORCL,1764,0
